                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9612,                 1.6618,                 1.9117,                0.44077,                0.15938,                0.14718,                0.05901,                 2.5143,                 3.3884,                 2.9229,                 0.0802,                 0.0022,                 0.0022
                      2,                 1.9324,                 1.5807,                 1.9294,                0.41169,                0.17143,                0.16544,                0.06808,                 2.2949,                 3.7595,                 2.5271,               0.059485,              0.0044852,              0.0044852
                      3,                 1.9012,                 1.5921,                 1.8781,                0.51637,                0.25674,                0.23182,                0.09354,                 2.2031,                 2.3825,                 2.4117,               0.038755,              0.0067551,              0.0067551
                      4,                 1.9038,                 1.5501,                 1.8608,                0.26351,                0.23776,                0.19219,                0.07358,                 2.5102,                 2.9615,                 2.6215,                0.01801,              0.0090099,              0.0090099
                      5,                 1.8901,                 1.5473,                 1.8825,                0.42073,                0.28541,                0.24079,                0.09842,                 2.2544,                 2.2082,                 2.4708,               0.009868,               0.009868,               0.009868
                      6,                 1.9004,                 1.5821,                  1.888,                0.40964,                0.18833,                0.15397,                0.06279,                 2.4638,                 3.3098,                 2.6677,               0.009835,               0.009835,               0.009835
                      7,                 1.9142,                 1.5723,                 1.8938,                0.31289,                0.37361,                0.31345,                0.12645,                 2.0175,                   2.22,                 2.2159,               0.009802,               0.009802,               0.009802
                      8,                 1.8875,                 1.5375,                 1.8966,                0.57572,                0.32837,                0.30106,                0.13029,                 2.0678,                  2.269,                 2.2629,               0.009769,               0.009769,               0.009769
                      9,                   1.88,                 1.5498,                  1.892,                 0.3727,                0.40833,                0.33457,                 0.1321,                 2.0554,                 2.5622,                 2.2926,               0.009736,               0.009736,               0.009736
                     10,                 1.9041,                 1.5597,                 1.8911,                0.42007,                0.27644,                0.22242,                0.09256,                  2.151,                  2.546,                 2.3657,               0.009703,               0.009703,               0.009703
                     11,                 1.8466,                 1.5341,                  1.877,                0.51257,                0.42069,                0.36907,                0.14999,                 2.0142,                 1.8566,                 2.2282,                0.00967,                0.00967,                0.00967
                     12,                 1.8647,                 1.4665,                 1.8647,                0.52203,                0.36747,                0.34757,                0.14477,                 2.0257,                 1.8358,                 2.2184,               0.009637,               0.009637,               0.009637
                     13,                 1.8443,                 1.4385,                 1.8429,                0.46815,                0.39947,                0.34945,                0.14597,                 1.9832,                 1.8168,                 2.1744,               0.009604,               0.009604,               0.009604
                     14,                 1.8613,                 1.5062,                  1.879,                 0.3831,                0.50739,                0.38321,                0.16314,                 1.9558,                 2.2016,                 2.1681,               0.009571,               0.009571,               0.009571
                     15,                 1.8536,                 1.4487,                 1.8415,                 0.5532,                0.33473,                0.33274,                 0.1376,                 2.0833,                 1.9567,                 2.2891,               0.009538,               0.009538,               0.009538
                     16,                 1.8429,                 1.4954,                 1.8686,                0.46785,                0.42781,                0.38219,                0.15969,                 1.9881,                 1.6674,                 2.1675,               0.009505,               0.009505,               0.009505
                     17,                 1.8311,                 1.4207,                 1.8417,                 0.5175,                0.30544,                0.29689,                0.11801,                 2.1469,                 2.0692,                  2.384,               0.009472,               0.009472,               0.009472
                     18,                 1.8661,                 1.4982,                 1.9208,                0.56627,                0.26912,                0.24623,                0.10323,                 2.1298,                 2.2888,                 2.3658,               0.009439,               0.009439,               0.009439
                     19,                 1.8697,                 1.4788,                 1.8466,                0.44877,                0.36455,                0.32563,                0.13069,                 1.9947,                 1.9812,                 2.2014,               0.009406,               0.009406,               0.009406
                     20,                 1.8691,                  1.499,                 1.8562,                 0.3942,                0.46471,                0.39208,                0.15914,                 2.0612,                 1.7409,                 2.2383,               0.009373,               0.009373,               0.009373
                     21,                 1.8341,                 1.4761,                 1.8519,                0.50927,                0.39574,                0.36115,                0.15125,                 2.0229,                 1.6843,                 2.2034,                0.00934,                0.00934,                0.00934
                     22,                 1.8286,                 1.4027,                 1.8234,                0.55049,                0.42103,                0.40514,                 0.1625,                  2.026,                 1.6932,                 2.2118,               0.009307,               0.009307,               0.009307
                     23,                 1.8324,                    1.4,                 1.8451,                0.64047,                0.29702,                0.32172,                0.13635,                 1.9962,                 2.3903,                  2.211,               0.009274,               0.009274,               0.009274
                     24,                 1.8315,                 1.4484,                 1.8486,                0.49139,                0.28932,                0.24112,                0.09823,                 2.1946,                 7.1467,                 2.4327,               0.009241,               0.009241,               0.009241
                     25,                 1.8218,                 1.4156,                 1.8514,                0.32037,                0.42066,                0.35174,                0.14262,                 2.0262,                 2.1661,                 2.1992,               0.009208,               0.009208,               0.009208
                     26,                 1.8184,                 1.4499,                 1.8218,                0.56909,                0.32289,                0.31253,                0.12328,                 2.0597,                 2.1479,                 2.2494,               0.009175,               0.009175,               0.009175
                     27,                  1.849,                 1.4027,                 1.8552,                0.37232,                0.38652,                0.33342,                0.14183,                 2.0057,                 1.9912,                 2.1947,               0.009142,               0.009142,               0.009142
