                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2311,                 3.0983,                 1.6256,                0.03038,                0.02045,                0.01575,                0.00652,                 2.5988,                  47.61,                 3.7933,                 0.0802,                 0.0022,                 0.0022
                      2,                 2.2492,                 2.2471,                 1.6753,                 0.0003,                 0.0006,                0.00016,                  2e-05,                 4.1115,                  37569,                 50.395,               0.059055,              0.0040545,              0.0040545
                      3,                 2.2055,                 2.0358,                 1.6632,                0.00019,                0.00101,                0.00012,                  5e-05,                 2.7299,                  245.4,                 6.2792,               0.037454,              0.0054536,              0.0054536
                      4,                 2.1178,                 1.8837,                 1.5866,                0.24819,                0.09486,                0.04072,                 0.0165,                 2.4611,                 27.193,                  4.742,               0.015397,              0.0063973,              0.0063973
                      5,                 2.1023,                 1.8434,                 1.5793,                0.42591,                0.06923,                0.04689,                0.01973,                  2.277,                 14.993,                 1.8436,                0.00604,                0.00604,                0.00604
                      6,                 2.0471,                 1.7091,                 1.5262,                0.51711,                0.25145,                0.22336,                0.08678,                 2.0899,                 2.2743,                 1.5725,                0.00505,                0.00505,                0.00505
                      7,                  2.004,                 1.6246,                 1.5174,                0.36828,                0.30624,                0.23581,                0.09688,                 2.0779,                 2.2884,                 1.5652,                0.00406,                0.00406,                0.00406
                      8,                 1.9893,                 1.5701,                 1.5031,                 0.4112,                0.33035,                0.27674,                0.11133,                 2.0237,                 1.8154,                   1.52,                0.00307,                0.00307,                0.00307
                      9,                  1.957,                 1.4817,                   1.47,                0.62078,                0.36648,                0.32718,                0.13106,                  1.956,                 1.6131,                 1.4438,                0.00208,                0.00208,                0.00208
                     10,                 1.9162,                 1.4246,                 1.4526,                0.52207,                 0.3901,                0.35987,                0.14621,                 1.9591,                 1.4826,                 1.4422,                0.00109,                0.00109,                0.00109
