                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5404,                 2.7875,                 5.0298,                 1.2326,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.3074,                 2.7159,                 4.9399,                 1.0937,                 0.0748,                 0.0028,                 0.0028
                      1,                  1.371,                 2.0919,                 4.5952,                 1.0444,                0.00412,                0.00318,                 0.0022,                0.00085,                0.00214,                0.00223,                0.00118,                0.00076,                  1.325,                 2.0391,                 4.6838,                 1.0634,               0.048694,              0.0056944,              0.0056944
                      2,                 1.4199,                 2.0114,                 4.0992,                 1.0554,                 0.0405,                0.44561,                0.04214,                0.02317,                0.04004,                0.44388,                0.04181,                0.02374,                 1.4434,                 2.0663,                 3.8472,                 1.1577,               0.022583,               0.008583,               0.008583
                      3,                 1.4291,                  2.198,                   3.63,                 1.0816,                0.03537,                0.39596,                0.04114,                0.01926,                 0.0345,                0.39328,                0.04111,                0.01849,                  1.608,                 2.8709,                 3.8518,                 1.3209,              0.0099703,              0.0099703,              0.0099703
                      4,                 1.4459,                 2.1235,                 3.2405,                 1.1113,                0.15675,                0.30998,                0.03783,                0.02464,                0.15657,                0.30855,                0.03783,                0.02235,                  1.295,                 2.1997,                 4.0595,                 1.1661,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.4643,                 2.0406,                 2.9497,                 1.1074,                0.12808,                0.39985,                0.04903,                0.03005,                0.12818,                0.40022,                0.04928,                0.02988,                 1.3471,                 1.9129,                 2.9158,                 1.1608,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.4015,                 1.9427,                 2.7988,                 1.1191,                0.09628,                0.36946,                0.06101,                0.03756,                0.09771,                0.35894,                0.06127,                0.03599,                 1.3985,                 2.0262,                 2.6728,                 1.1746,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.3676,                 1.8024,                 2.7049,                 1.0971,                0.09397,                0.63228,                0.08899,                0.05526,                0.09393,                0.63199,                0.08897,                0.05467,                 1.3173,                 1.8298,                 2.6759,                 1.0956,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.3641,                 1.8237,                 2.6766,                 1.0796,                 0.1206,                0.40422,                0.09521,                0.06011,                0.12052,                 0.4035,                  0.095,                0.05624,                 1.2657,                 1.7214,                 2.7394,                 1.0644,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.3253,                 1.7974,                 2.6022,                 1.0782,                0.06167,                0.68729,                0.11021,                0.06869,                0.06169,                0.68738,                0.11099,                0.06769,                 1.2652,                 1.7263,                 2.7345,                 1.0865,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.3123,                 1.7691,                  2.563,                 1.0663,                0.06946,                0.67579,                0.11931,                0.07195,                0.06932,                0.67438,                0.11874,                0.07374,                 1.3649,                 1.7214,                 2.6104,                 1.1615,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.2931,                 1.7202,                 2.5194,                  1.069,                0.07769,                0.46995,                0.10013,                0.06306,                0.07738,                0.46846,                0.09992,                0.06268,                 1.2871,                 1.7638,                 2.4907,                 1.1532,               0.009901,               0.009901,               0.009901
                     12,                 1.2849,                 1.6992,                 2.5137,                 1.0674,                0.08437,                0.61064,                0.13187,                0.08745,                0.08415,                0.60913,                 0.1315,                0.08025,                 1.1803,                 1.6708,                 2.5129,                 1.0907,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.2489,                 1.6692,                  2.483,                 1.0723,                0.12789,                0.33071,                0.12954,                0.08175,                0.12793,                0.33059,                0.12965,                0.08035,                  1.253,                 1.6308,                 2.4147,                 1.1335,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.2647,                 1.6546,                  2.443,                  1.063,                0.13731,                0.36827,                0.14193,                 0.0929,                0.13701,                0.36739,                0.14139,                0.08525,                 1.1959,                 1.6924,                 2.4001,                  1.092,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.2311,                 1.7331,                 2.4494,                 1.0605,                0.15214,                 0.3789,                0.15659,                0.09861,                0.15199,                0.37876,                0.15673,                0.09575,                 1.2426,                  1.712,                 2.3991,                 1.1003,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.2538,                 1.6988,                 2.3645,                 1.0665,                 0.1707,                0.30382,                0.16767,                0.10461,                0.17086,                0.30426,                0.16701,                0.10419,                 1.2715,                 1.6837,                 2.3903,                 1.0884,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.2594,                 1.6799,                 2.3367,                 1.0559,                0.20272,                0.29407,                0.16341,                0.10551,                 0.2025,                0.29378,                0.16319,                0.10158,                 1.2181,                  1.642,                 2.4195,                 1.1026,              0.0098416,              0.0098416,              0.0098416
                     18,                  1.239,                  1.633,                 2.3234,                 1.0551,                0.23791,                0.32399,                0.18626,                0.11521,                0.23838,                0.32445,                0.18678,                0.11449,                 1.3042,                 1.7369,                 2.3818,                 1.1313,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.2321,                 1.6595,                 2.2997,                 1.0691,                 0.2412,                 0.3707,                0.21386,                0.14022,                0.24098,                0.37014,                0.21362,                0.13174,                 1.1925,                 1.6534,                 2.2159,                 1.0809,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.2142,                  1.623,                  2.263,                 1.0623,                0.23156,                0.37382,                0.22628,                0.13613,                0.23155,                0.37391,                 0.2262,                0.13473,                 1.3518,                 1.6787,                 2.2628,                 1.1847,              0.0098119,              0.0098119,              0.0098119
